title,structural_archetype,primary_domain,sub_category,published_date,publish_day,publish_hour,views,likes,comments,engagement_rate_%,duration_formatted,thumbnail_url,url,video_id,description_clean
2nd A. Khilafat and knowledge | خلافت اور علم,Standalone Keynotes,Islamic Political Systems,General Discussion,2024-06-01,Saturday,6,612,10,0,1.63,01:02:21,https://i.ytimg.com/vi/YjlANGnT5UA/sddefault.jpg,https://youtube.com/watch?v=YjlANGnT5UA,YjlANGnT5UA,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
4A. Who is Allah | Toheed in Modern times,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-06-15,Saturday,5,608,4,0,0.66,01:02:40,https://i.ytimg.com/vi/VGc6Rpx4GFA/sddefault.jpg,https://youtube.com/watch?v=VGc6Rpx4GFA,VGc6Rpx4GFA,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
6A. 3 point agenda for revival of ummah,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-06-29,Saturday,5,591,7,0,1.18,01:03:11,https://i.ytimg.com/vi/TqPmBLScX4I/sddefault.jpg,https://youtube.com/watch?v=TqPmBLScX4I,TqPmBLScX4I,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Spouse relation in Quran,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-07-13,Saturday,5,561,11,0,1.96,01:02:36,https://i.ytimg.com/vi/XapDmzTgUYo/sddefault.jpg,https://youtube.com/watch?v=XapDmzTgUYo,XapDmzTgUYo,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
1st B. Q&A Fatiha,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-05-26,Sunday,5,560,9,2,1.96,01:01:15,https://i.ytimg.com/vi/M5ueBGBsneo/sddefault.jpg,https://youtube.com/watch?v=M5ueBGBsneo,M5ueBGBsneo,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Aimaan. What does it give? Who gets it? How?,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-07-06,Saturday,5,541,9,2,2.03,01:00:46,https://i.ytimg.com/vi/_a8xaEpM1xs/sddefault.jpg,https://youtube.com/watch?v=_a8xaEpM1xs,_a8xaEpM1xs,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
1st A. First and foremost. Fatiha,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-05-25,Saturday,5,526,6,0,1.14,54:56,https://i.ytimg.com/vi/rXGsjxBkB0A/sddefault.jpg,https://youtube.com/watch?v=rXGsjxBkB0A,rXGsjxBkB0A,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
3A. What is Taqwa and Virtue by Quran,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-06-08,Saturday,5,458,6,2,1.75,01:00:10,https://i.ytimg.com/vi/5yHt9V7oSc4/sddefault.jpg,https://youtube.com/watch?v=5yHt9V7oSc4,5yHt9V7oSc4,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
تو غنی از ہر دو عالم من فقیر | I am begger,General Discourse,General Public Address,Unassigned Overview Topics,2023-11-27,Monday,2,457,25,0,5.47,00:43,https://i.ytimg.com/vi/jgw7LqCX2jM/maxresdefault.jpg,https://youtube.com/watch?v=jgw7LqCX2jM,jgw7LqCX2jM,
لا إله إلا الله | LA ILAHA ILALLAH | SPECIAL LECTURE -1 |,General Discourse,General Public Address,Unassigned Overview Topics,2022-11-04,Friday,14,452,34,4,8.41,52:57,https://i.ytimg.com/vi/BExCpJ8i6Fk/maxresdefault.jpg,https://youtube.com/watch?v=BExCpJ8i6Fk,BExCpJ8i6Fk,"SPECIAL LECTURE SERIES | CLASS-1 | ( لا إله إلا الله ) TOPIC - ( لا إله إلا الله ) #لااله_الاالله #کلمہ class-1 like , subscribe and share for more Islamic lectures"
Personal Talk | With Ayub Baig Mirza Sb | 02-Meeting with Dr Israr Ahmad (1968-1979),Serial Coursework,Civilizational History & Seerah,General Discussion,2023-01-23,Monday,6,442,13,0,2.94,37:31,https://i.ytimg.com/vi/J5yR0joQTZY/maxresdefault.jpg,https://youtube.com/watch?v=J5yR0joQTZY,J5yR0joQTZY,"Personal Discussion with Ayub Baig Mirza Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. This episode shared personal and political memories from 1968 to 1979. From the 1971 war to the Bhutto period and Antibhutto movement to his death and Zia-ul Haq regime #drisrarahmed #ziaulhaq #bangladesh #eastpakistan #mujeeb #india #pakistanhistory #pakistan #bhutu #1971 war Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through..."
Love & Respect Your Spouses - A Short Reminder | Dora Tarjuma Quran 2023,Standalone Keynotes,Socio-Spiritual Ethics & Family,Spiritual Purification (Tazkiyah),2023-05-01,Monday,15,413,33,0,7.99,00:53,https://i.ytimg.com/vi/77QRMM8yoYs/maxresdefault.jpg,https://youtube.com/watch?v=77QRMM8yoYs,77QRMM8yoYs,@drhafizhaseeb #spouse #quran #قرآن #tarjuma #relationshipadvice #relationship #love of husband and wife
Sorat Rahman & Balance in the Universe and our Life,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-08-21,Thursday,6,412,21,2,5.58,02:49,https://i.ytimg.com/vi/H6D9lMuQO7M/maxresdefault.jpg,https://youtube.com/watch?v=H6D9lMuQO7M,H6D9lMuQO7M,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Islamic state & politics,Standalone Keynotes,Islamic Political Systems,General Discussion,2024-07-20,Saturday,5,408,14,2,3.92,01:02:07,https://i.ytimg.com/vi/8T9ZVw22ntc/sddefault.jpg,https://youtube.com/watch?v=8T9ZVw22ntc,8T9ZVw22ntc,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Should we vote? Why? How? To whom?,General Discourse,Constitutional Law & Statecraft,General Discussion,2024-02-07,Wednesday,6,404,29,3,7.92,24:28,https://i.ytimg.com/vi/zy-LMe7ofq8/maxresdefault.jpg,https://youtube.com/watch?v=zy-LMe7ofq8,zy-LMe7ofq8,"#election2024 #quran #muhammad #seerat #islam #politics #ibadat #khilafat #constitution #vote #voter #عبادت #خلافت #آئین_بچاؤ_ملک_بچاؤ #الیکشن_کراو_پاکستان_بچاو #شورٰی #ووٹ Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
8. Aal e Imran 110 to 200 | Ramzan 26,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-02-22,Sunday,8,391,10,1,2.81,01:36:05,https://i.ytimg.com/vi/v69LlB9lN00/maxresdefault.jpg,https://youtube.com/watch?v=v69LlB9lN00,v69LlB9lN00,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
مَنّ و سلوٰى vs لہسن پیاز,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-02-19,Thursday,5,390,19,1,5.13,00:55,https://i.ytimg.com/vi/05vrQcZrPW0/maxresdefault.jpg,https://youtube.com/watch?v=05vrQcZrPW0,05vrQcZrPW0,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Seerat un Nabi ﷺ class 1 | سیرت النبیﷺ کلاس 1 | سلسلہ رسالت اور مقصدِ بعثتِ محمدیﷺ,Serial Coursework,Civilizational History & Seerah,Prophetic Era (Seerah),2022-12-09,Friday,2,382,21,2,6.02,57:33,https://i.ytimg.com/vi/08Fmz5R3Zxw/maxresdefault.jpg,https://youtube.com/watch?v=08Fmz5R3Zxw,08Fmz5R3Zxw,"A short course on Seerat un Nabi ﷺ | Class 1/5 حضرت آدمؑ سے عیسیٰؑ تک سلسہ رسالت مقصدِ محمدیﷺ Chain of prophethood | From ADAM to ESA (A.S) Purpose of prophet Muhammad SAW. #muhammad #prophetmuhammad #prophet #prophets #سیرت_نبوی #سیرت_النبی #سیرت #ابراہیم #موسی #seerat #seeratunnabi Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video"
2. Baqara 27 to 82 | Ramzan 26,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-02-19,Thursday,7,380,15,1,4.21,01:10:31,https://i.ytimg.com/vi/2VYqqmEG4tE/maxresdefault.jpg,https://youtube.com/watch?v=2VYqqmEG4tE,2VYqqmEG4tE,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
4B. Current Toheedi Movements and Impact,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-06-16,Sunday,5,374,3,0,0.8,01:04:05,https://i.ytimg.com/vi/2zbzN9enX3g/sddefault.jpg,https://youtube.com/watch?v=2zbzN9enX3g,2zbzN9enX3g,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
علم ہے ابن الکتاب۔۔ عشق ہے ام الکتاب,General Discourse,General Public Address,Unassigned Overview Topics,2025-11-20,Thursday,3,362,28,1,8.01,01:01,https://i.ytimg.com/vi/pWa1vUNPVrs/maxresdefault.jpg,https://youtube.com/watch?v=pWa1vUNPVrs,pWa1vUNPVrs,
Spouse relations | Discussion ,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-07-15,Monday,5,362,6,2,2.21,59:58,https://i.ytimg.com/vi/NgxDdJs4d5M/sddefault.jpg,https://youtube.com/watch?v=NgxDdJs4d5M,NgxDdJs4d5M,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
اللہ ضرور ہدایت دے گا | Allah will guide surely,General Discourse,General Public Address,Unassigned Overview Topics,2023-11-26,Sunday,2,362,32,0,8.84,00:46,https://i.ytimg.com/vi/Sr0ytchh410/maxresdefault.jpg,https://youtube.com/watch?v=Sr0ytchh410,Sr0ytchh410,
01- Fatiha | Dora Tarjuma Quran 2023,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2023-04-12,Wednesday,10,350,36,2,10.86,34:38,https://i.ytimg.com/vi/GXLVngR0CZc/maxresdefault.jpg,https://youtube.com/watch?v=GXLVngR0CZc,GXLVngR0CZc,"A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
حسبنا اللہ ونعم الوکیل,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-02-21,Saturday,21,342,6,1,2.05,00:35,https://i.ytimg.com/vi/mOjHFfcjxgE/maxresdefault.jpg,https://youtube.com/watch?v=mOjHFfcjxgE,mOjHFfcjxgE,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Personal Talk | With Ayub Baig Mirza Sb | 01-Early Life,Serial Coursework,Iqbalian Philosophy (Fikr-e-Iqbal),General Discussion,2023-01-15,Sunday,17,339,19,1,5.9,01:00:00,https://i.ytimg.com/vi/eDQ_lyr0Efo/maxresdefault.jpg,https://youtube.com/watch?v=eDQ_lyr0Efo,eDQ_lyr0Efo,"Personal Discussion with Ayub Baig Mirza Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. In this episode, Late personal and political memories of childhood and adulthood were shared from pre-partition to the 1965 Indo-Pak war. #drisrarahmed #iqbal #ghandi #1965war Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
Islamic Politics vs our politics,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-07-22,Monday,5,330,2,0,0.61,59:54,https://i.ytimg.com/vi/VSULSM0HU8E/sddefault.jpg,https://youtube.com/watch?v=VSULSM0HU8E,VSULSM0HU8E,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
عوامی مینڈیٹ کا احترام اور خلافت #tarjuma #quran #muhammad #khilafat #politics #vote #,Standalone Keynotes,Islamic Political Systems,General Discussion,2024-02-10,Saturday,4,329,35,0,10.64,01:01,https://i.ytimg.com/vi/cmeWqoYe-zo/maxresdefault.jpg,https://youtube.com/watch?v=cmeWqoYe-zo,cmeWqoYe-zo,
3 B. Taqwa & Virtue | Estern Vs Western,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-06-09,Sunday,5,327,7,0,2.14,01:02:35,https://i.ytimg.com/vi/Yo5s9mzVMY0/sddefault.jpg,https://youtube.com/watch?v=Yo5s9mzVMY0,Yo5s9mzVMY0,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Personal Talk | With Ayub Baig Mirza Sb | 03-Zia ul Haq Era (1979-1989),Serial Coursework,Civilizational History & Seerah,General Discussion,2023-01-29,Sunday,15,327,16,0,4.89,47:38,https://i.ytimg.com/vi/CYO6pDRsCsA/maxresdefault.jpg,https://youtube.com/watch?v=CYO6pDRsCsA,CYO6pDRsCsA,"Personal Discussion with Ayub Baig Mirza Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. This episode shared personal and political memories from 1979 to 1989. Zia ul Haq era in which so-called Islamization was seen with political repression of opponents. #ziaulhaq #russian #communism #america #israrahmad #pakistanhistory Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watch..."
5B. What is Deen | Toheed & Justice,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-06-24,Monday,5,297,4,0,1.35,01:06:10,https://i.ytimg.com/vi/3fEacEQ2S00/sddefault.jpg,https://youtube.com/watch?v=3fEacEQ2S00,3fEacEQ2S00,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Personal Talk | With Dr. Abdul Samie Sb | 06 - Early life & Meeting Dr. Israr Ahmad R.A,Public Dialogue,Socio-Spiritual Ethics & Family,Social & Family Ethics,2023-03-12,Sunday,14,287,20,2,7.67,42:10,https://i.ytimg.com/vi/Zz5x3YrppjM/maxresdefault.jpg,https://youtube.com/watch?v=Zz5x3YrppjM,Zz5x3YrppjM,"#drisrarahmed #nomanalikhan #drabdussamie #amirsohail #quranacademyfsd #quranacademy #quran Personal Discussion with Dr. Abdul Samie Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. and Teacher of Ustad Noman Ali Khan and Amir Sohail sb. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Lady doctors of Madina,General Discourse,General Public Address,Unassigned Overview Topics,2024-04-07,Sunday,11,280,14,2,5.71,00:31,https://i.ytimg.com/vi/f_cRW1p-gWA/maxresdefault.jpg,https://youtube.com/watch?v=f_cRW1p-gWA,f_cRW1p-gWA,
Ramazan & Seerat #quran #muhammad #seerat,General Discourse,Civilizational History & Seerah,Prophetic Era (Seerah),2023-04-04,Tuesday,21,279,47,1,17.2,01:00,https://i.ytimg.com/vi/Clv6ajAZ5x4/maxresdefault.jpg,https://youtube.com/watch?v=Clv6ajAZ5x4,Clv6ajAZ5x4,
Sectarianism & Amr bil màrof & Nahi anil munkar,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-06-30,Sunday,5,272,6,1,2.57,01:01:06,https://i.ytimg.com/vi/a_N0MjBOrhE/sddefault.jpg,https://youtube.com/watch?v=a_N0MjBOrhE,a_N0MjBOrhE,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Seerat un Nabi ﷺ class 5 | مدنی زندگی | ریاستِ مدینہ اور جہاد وقتال,General Discourse,Civilizational History & Seerah,Prophetic Era (Seerah),2023-01-02,Monday,14,267,17,1,6.74,01:11:21,https://i.ytimg.com/vi/9khLpsB8VUU/maxresdefault.jpg,https://youtube.com/watch?v=9khLpsB8VUU,9khLpsB8VUU,"A short course on Seerat un Nabi ﷺ | Class 5/5 ریاستِ مدینہ اور جہاد و قتال | مدنی دور #madina #islamicsystem #jihad #holywar #ghazwa #muslimsociety #ghazwaebadar #جہاد #قتال #ریاست مدینہ #صلح #فتح #hijarah of Prophet Muhammad SAW Life of prophet Muhammad SAW. #muhammad #prophetmuhammad #prophet #سیرت_نبوی #سیرت_النبی #سیرت #seerat #seeratunnabi Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments....."
Shikwa | شکوہ | Kalam e Iqbal | کلامِ اقبال,Public Dialogue,Iqbalian Philosophy (Fikr-e-Iqbal),Shikwa / Jawab-e-Shikwa,2022-11-08,Tuesday,19,265,23,4,10.19,50:10,https://i.ytimg.com/vi/Mw_-EPf1TRQ/maxresdefault.jpg,https://youtube.com/watch?v=Mw_-EPf1TRQ,Mw_-EPf1TRQ,"Shikwa | شکوہ | Kalam e Iqbal | کلامِ اقبال #iqbal #iqbalpoetry #shikwajawabeshikwa lecture 1 Like, subscribe, and share for more such lectures"
Shame -1| حیا و پاکبازی | Intro & background | Special Lecture 9,General Discourse,Constitutional Law & Statecraft,Amendments & Legal History,2023-01-26,Thursday,12,262,21,0,8.02,38:35,https://i.ytimg.com/vi/F5FE47FNxVk/maxresdefault.jpg,https://youtube.com/watch?v=F5FE47FNxVk,F5FE47FNxVk,"Sex Discipline in Islam -1 | قصہ آدم و ابلیس Special Lecture Series # 9 This will be a group of lectures about the Quranic descriptions of Islamic principles of Shame, Chastity, Sex Discipline, and refraining from vulgarity. #vulgarity #shame #Chastity #Sex_discipline #Adam_Eve #shatan Please subscribe to our channel And Press the bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
2nd B. Khilafat & Knowledge | Discussion,Standalone Keynotes,Civilizational History & Seerah,Empires & Caliphates,2024-06-02,Sunday,6,254,7,1,3.15,01:00:06,https://i.ytimg.com/vi/opHmyhHAUp0/sddefault.jpg,https://youtube.com/watch?v=opHmyhHAUp0,opHmyhHAUp0,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Jawab e Shikwaa~ جوابِ شکوہ ~ Kalam e Iqbal ~ کلامِ اقبال,Public Dialogue,Iqbalian Philosophy (Fikr-e-Iqbal),Shikwa / Jawab-e-Shikwa,2022-11-09,Wednesday,6,254,18,2,7.87,01:04:55,https://i.ytimg.com/vi/ICJx06ln7S0/maxresdefault.jpg,https://youtube.com/watch?v=ICJx06ln7S0,ICJx06ln7S0,"Jawab e Shikwaa~ جوابِ شکوہ ~ Kalam e Iqbal ~ کلامِ اقبال Like, subscribe, and share for more such lectures"
خدا کی آواز,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-02-25,Wednesday,20,250,12,2,5.6,00:35,https://i.ytimg.com/vi/mrzpKSPVJUg/maxresdefault.jpg,https://youtube.com/watch?v=mrzpKSPVJUg,mrzpKSPVJUg,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
#quran #iqbal     For complete 10 min clip series... https://youtu.be/2vQKX3Vxa5o,General Discourse,Iqbalian Philosophy (Fikr-e-Iqbal),General Discussion,2023-03-08,Wednesday,2,248,32,2,13.71,01:00,https://i.ytimg.com/vi/GZ5NMHf7Lzk/maxresdefault.jpg,https://youtube.com/watch?v=GZ5NMHf7Lzk,GZ5NMHf7Lzk,
Personal Talk | With Ayub Baig Mirza Sb | 04- 1990s part-1,Serial Coursework,Civilizational History & Seerah,General Discussion,2023-02-11,Saturday,9,248,14,2,6.45,39:39,https://i.ytimg.com/vi/bxwrphMdd9E/maxresdefault.jpg,https://youtube.com/watch?v=bxwrphMdd9E,bxwrphMdd9E,"Personal Discussion with Ayub Baig Mirza Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. This episode shared personal and political memories from the 1990s. Era of political instability, corruption, terrorism, loans #nawazsharif #imrankhan #america #israrahmad #pakistanhistory Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
"47. Sora Yaseen, Saffat, Saad | Ramzan 26",Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-03-12,Thursday,6,246,10,0,4.07,02:10:33,https://i.ytimg.com/vi/nmGP7wUlA_g/maxresdefault.jpg,https://youtube.com/watch?v=nmGP7wUlA_g,nmGP7wUlA_g,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
