title,primary_domain,structural_archetype,published_date,publish_day,publish_hour,views,likes,comments,engagement_rate_%,duration_formatted,thumbnail_url,url,video_id,description_clean
2nd A. Khilafat and knowledge | خلافت اور علم,Online Quran sessions 1,Standalone Keynotes,01-06-24,Saturday,6,612,10,0,1.63,1:02:21,https://i.ytimg.com/vi/YjlANGnT5UA/sddefault.jpg,https://youtube.com/watch?v=YjlANGnT5UA,YjlANGnT5UA,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
4A. Who is Allah | Toheed in Modern times,Online Quran sessions 1,Standalone Keynotes,15-06-24,Saturday,5,608,4,0,0.66,1:02:40,https://i.ytimg.com/vi/VGc6Rpx4GFA/sddefault.jpg,https://youtube.com/watch?v=VGc6Rpx4GFA,VGc6Rpx4GFA,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
6A. 3 point agenda for revival of ummah,Online Quran sessions 1,Standalone Keynotes,29-06-24,Saturday,5,591,7,0,1.18,1:03:11,https://i.ytimg.com/vi/TqPmBLScX4I/sddefault.jpg,https://youtube.com/watch?v=TqPmBLScX4I,TqPmBLScX4I,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Spouse relation in Quran,Online Quran sessions 1,Standalone Keynotes,13-07-24,Saturday,5,561,11,0,1.96,1:02:36,https://i.ytimg.com/vi/XapDmzTgUYo/sddefault.jpg,https://youtube.com/watch?v=XapDmzTgUYo,XapDmzTgUYo,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
1st B. Q&A Fatiha,Online Quran sessions 1,Standalone Keynotes,26-05-24,Sunday,5,560,9,2,1.96,1:01:15,https://i.ytimg.com/vi/M5ueBGBsneo/sddefault.jpg,https://youtube.com/watch?v=M5ueBGBsneo,M5ueBGBsneo,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Aimaan. What does it give? Who gets it? How?,Online Quran sessions 1,Standalone Keynotes,06-07-24,Saturday,5,541,9,2,2.03,1:00:46,https://i.ytimg.com/vi/_a8xaEpM1xs/sddefault.jpg,https://youtube.com/watch?v=_a8xaEpM1xs,_a8xaEpM1xs,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
1st A. First and foremost. Fatiha,Online Quran sessions 1,Standalone Keynotes,25-05-24,Saturday,5,526,6,0,1.14,54:56:00,https://i.ytimg.com/vi/rXGsjxBkB0A/sddefault.jpg,https://youtube.com/watch?v=rXGsjxBkB0A,rXGsjxBkB0A,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
3A. What is Taqwa and Virtue by Quran,Online Quran sessions 1,Standalone Keynotes,08-06-24,Saturday,5,458,6,2,1.75,1:00:10,https://i.ytimg.com/vi/5yHt9V7oSc4/sddefault.jpg,https://youtube.com/watch?v=5yHt9V7oSc4,5yHt9V7oSc4,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
تو غنی از ہر دو عالم من فقیر | I am begger,Unassigned Individual Uploads,General Discourse,27-11-23,Monday,2,457,25,0,5.47,0:43,https://i.ytimg.com/vi/jgw7LqCX2jM/maxresdefault.jpg,https://youtube.com/watch?v=jgw7LqCX2jM,jgw7LqCX2jM,
لا إله إلا الله | LA ILAHA ILALLAH | SPECIAL LECTURE -1 |,SPECIAL LECTURE SERIES,Thematic Academic Seminars,04-11-22,Friday,14,452,34,4,8.41,52:57:00,https://i.ytimg.com/vi/BExCpJ8i6Fk/maxresdefault.jpg,https://youtube.com/watch?v=BExCpJ8i6Fk,BExCpJ8i6Fk,"SPECIAL LECTURE SERIES | CLASS-1 | ( لا إله إلا الله ) TOPIC - ( لا إله إلا الله ) #لااله_الاالله #کلمہ class-1 like , subscribe and share for more Islamic lectures"
Personal Talk | With Ayub Baig Mirza Sb | 02-Meeting with Dr Israr Ahmad (1968-1979),Personal Talk,Serial Coursework,23-01-23,Monday,6,442,13,0,2.94,37:31:00,https://i.ytimg.com/vi/J5yR0joQTZY/maxresdefault.jpg,https://youtube.com/watch?v=J5yR0joQTZY,J5yR0joQTZY,"Personal Discussion with Ayub Baig Mirza Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. This episode shared personal and political memories from 1968 to 1979. From the 1971 war to the Bhutto period and Antibhutto movement to his death and Zia-ul Haq regime #drisrarahmed #ziaulhaq #bangladesh #eastpakistan #mujeeb #india #pakistanhistory #pakistan #bhutu #1971 war Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through..."
Love & Respect Your Spouses - A Short Reminder | Dora Tarjuma Quran 2023,Unassigned Individual Uploads,Standalone Keynotes,01-05-23,Monday,15,413,33,0,7.99,0:53,https://i.ytimg.com/vi/77QRMM8yoYs/maxresdefault.jpg,https://youtube.com/watch?v=77QRMM8yoYs,77QRMM8yoYs,@drhafizhaseeb #spouse #quran #قرآن #tarjuma #relationshipadvice #relationship #love of husband and wife
Sorat Rahman & Balance in the Universe and our Life,Noor e Sahar @ 24 news,Standalone Keynotes,21-08-25,Thursday,6,412,21,2,5.58,2:49,https://i.ytimg.com/vi/H6D9lMuQO7M/maxresdefault.jpg,https://youtube.com/watch?v=H6D9lMuQO7M,H6D9lMuQO7M,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Islamic state & politics,Online Quran sessions 1,Standalone Keynotes,20-07-24,Saturday,5,408,14,2,3.92,1:02:07,https://i.ytimg.com/vi/8T9ZVw22ntc/sddefault.jpg,https://youtube.com/watch?v=8T9ZVw22ntc,8T9ZVw22ntc,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Should we vote? Why? How? To whom?,Khutba e Jumma,General Discourse,07-02-24,Wednesday,6,404,29,3,7.92,24:28:00,https://i.ytimg.com/vi/zy-LMe7ofq8/maxresdefault.jpg,https://youtube.com/watch?v=zy-LMe7ofq8,zy-LMe7ofq8,"#election2024 #quran #muhammad #seerat #islam #politics #ibadat #khilafat #constitution #vote #voter #عبادت #خلافت #آئین_بچاؤ_ملک_بچاؤ #الیکشن_کراو_پاکستان_بچاو #شورٰی #ووٹ Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
8. Aal e Imran 110 to 200 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,22-02-26,Sunday,8,391,10,1,2.81,1:36:05,https://i.ytimg.com/vi/v69LlB9lN00/maxresdefault.jpg,https://youtube.com/watch?v=v69LlB9lN00,v69LlB9lN00,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
مَنّ و سلوٰى vs لہسن پیاز,Unassigned Individual Uploads,Standalone Keynotes,19-02-26,Thursday,5,390,19,1,5.13,0:55,https://i.ytimg.com/vi/05vrQcZrPW0/maxresdefault.jpg,https://youtube.com/watch?v=05vrQcZrPW0,05vrQcZrPW0,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Seerat un Nabi ﷺ class 1 | سیرت النبیﷺ کلاس 1 | سلسلہ رسالت اور مقصدِ بعثتِ محمدیﷺ,Seerat un Nabi (S.A.W) | سیرت النبی ﷺ |,Serial Coursework,09-12-22,Friday,2,382,21,2,6.02,57:33:00,https://i.ytimg.com/vi/08Fmz5R3Zxw/maxresdefault.jpg,https://youtube.com/watch?v=08Fmz5R3Zxw,08Fmz5R3Zxw,"A short course on Seerat un Nabi ﷺ | Class 1/5 حضرت آدمؑ سے عیسیٰؑ تک سلسہ رسالت مقصدِ محمدیﷺ Chain of prophethood | From ADAM to ESA (A.S) Purpose of prophet Muhammad SAW. #muhammad #prophetmuhammad #prophet #prophets #سیرت_نبوی #سیرت_النبی #سیرت #ابراہیم #موسی #seerat #seeratunnabi Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video"
2. Baqara 27 to 82 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,19-02-26,Thursday,7,380,15,1,4.21,1:10:31,https://i.ytimg.com/vi/2VYqqmEG4tE/maxresdefault.jpg,https://youtube.com/watch?v=2VYqqmEG4tE,2VYqqmEG4tE,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
4B. Current Toheedi Movements and Impact,Online Quran sessions 1,Standalone Keynotes,16-06-24,Sunday,5,374,3,0,0.8,1:04:05,https://i.ytimg.com/vi/2zbzN9enX3g/sddefault.jpg,https://youtube.com/watch?v=2zbzN9enX3g,2zbzN9enX3g,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Spouse relations | Discussion ,Online Quran sessions 1,Standalone Keynotes,15-07-24,Monday,5,362,6,2,2.21,59:58:00,https://i.ytimg.com/vi/NgxDdJs4d5M/sddefault.jpg,https://youtube.com/watch?v=NgxDdJs4d5M,NgxDdJs4d5M,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
علم ہے ابن الکتاب۔۔ عشق ہے ام الکتاب,Unassigned Individual Uploads,General Discourse,20-11-25,Thursday,3,362,28,1,8.01,1:01,https://i.ytimg.com/vi/pWa1vUNPVrs/maxresdefault.jpg,https://youtube.com/watch?v=pWa1vUNPVrs,pWa1vUNPVrs,
اللہ ضرور ہدایت دے گا | Allah will guide surely,Unassigned Individual Uploads,General Discourse,26-11-23,Sunday,2,362,32,0,8.84,0:46,https://i.ytimg.com/vi/Sr0ytchh410/maxresdefault.jpg,https://youtube.com/watch?v=Sr0ytchh410,Sr0ytchh410,
01- Fatiha | Dora Tarjuma Quran 2023,Dora Tarjuma Quran 2023,Standalone Keynotes,12-04-23,Wednesday,10,350,36,2,10.86,34:38:00,https://i.ytimg.com/vi/GXLVngR0CZc/maxresdefault.jpg,https://youtube.com/watch?v=GXLVngR0CZc,GXLVngR0CZc,"A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
حسبنا اللہ ونعم الوکیل,Unassigned Individual Uploads,Standalone Keynotes,21-02-26,Saturday,21,342,6,1,2.05,0:35,https://i.ytimg.com/vi/mOjHFfcjxgE/maxresdefault.jpg,https://youtube.com/watch?v=mOjHFfcjxgE,mOjHFfcjxgE,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Personal Talk | With Ayub Baig Mirza Sb | 01-Early Life,Personal Talk,Serial Coursework,15-01-23,Sunday,17,339,19,1,5.9,1:00:00,https://i.ytimg.com/vi/eDQ_lyr0Efo/maxresdefault.jpg,https://youtube.com/watch?v=eDQ_lyr0Efo,eDQ_lyr0Efo,"Personal Discussion with Ayub Baig Mirza Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. In this episode, Late personal and political memories of childhood and adulthood were shared from pre-partition to the 1965 Indo-Pak war. #drisrarahmed #iqbal #ghandi #1965war Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
Islamic Politics vs our politics,Online Quran sessions 1,Standalone Keynotes,22-07-24,Monday,5,330,2,0,0.61,59:54:00,https://i.ytimg.com/vi/VSULSM0HU8E/sddefault.jpg,https://youtube.com/watch?v=VSULSM0HU8E,VSULSM0HU8E,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
عوامی مینڈیٹ کا احترام اور خلافت #tarjuma #quran #muhammad #khilafat #politics #vote #,Unassigned Individual Uploads,Standalone Keynotes,10-02-24,Saturday,4,329,35,0,10.64,1:01,https://i.ytimg.com/vi/cmeWqoYe-zo/maxresdefault.jpg,https://youtube.com/watch?v=cmeWqoYe-zo,cmeWqoYe-zo,
3 B. Taqwa & Virtue | Estern Vs Western,Online Quran sessions 1,Standalone Keynotes,09-06-24,Sunday,5,327,7,0,2.14,1:02:35,https://i.ytimg.com/vi/Yo5s9mzVMY0/sddefault.jpg,https://youtube.com/watch?v=Yo5s9mzVMY0,Yo5s9mzVMY0,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Personal Talk | With Ayub Baig Mirza Sb | 03-Zia ul Haq Era (1979-1989),Personal Talk,Serial Coursework,29-01-23,Sunday,15,327,16,0,4.89,47:38:00,https://i.ytimg.com/vi/CYO6pDRsCsA/maxresdefault.jpg,https://youtube.com/watch?v=CYO6pDRsCsA,CYO6pDRsCsA,"Personal Discussion with Ayub Baig Mirza Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. This episode shared personal and political memories from 1979 to 1989. Zia ul Haq era in which so-called Islamization was seen with political repression of opponents. #ziaulhaq #russian #communism #america #israrahmad #pakistanhistory Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watch..."
5B. What is Deen | Toheed & Justice,Online Quran sessions 1,Standalone Keynotes,24-06-24,Monday,5,297,4,0,1.35,1:06:10,https://i.ytimg.com/vi/3fEacEQ2S00/sddefault.jpg,https://youtube.com/watch?v=3fEacEQ2S00,3fEacEQ2S00,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Personal Talk | With Dr. Abdul Samie Sb | 06 - Early life & Meeting Dr. Israr Ahmad R.A,Personal Talk,Public Dialogue,12-03-23,Sunday,14,287,20,2,7.67,42:10:00,https://i.ytimg.com/vi/Zz5x3YrppjM/maxresdefault.jpg,https://youtube.com/watch?v=Zz5x3YrppjM,Zz5x3YrppjM,"#drisrarahmed #nomanalikhan #drabdussamie #amirsohail #quranacademyfsd #quranacademy #quran Personal Discussion with Dr. Abdul Samie Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. and Teacher of Ustad Noman Ali Khan and Amir Sohail sb. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Lady doctors of Madina,Unassigned Individual Uploads,General Discourse,07-04-24,Sunday,11,280,14,2,5.71,0:31,https://i.ytimg.com/vi/f_cRW1p-gWA/maxresdefault.jpg,https://youtube.com/watch?v=f_cRW1p-gWA,f_cRW1p-gWA,
Ramazan & Seerat #quran #muhammad #seerat,Unassigned Individual Uploads,General Discourse,04-04-23,Tuesday,21,279,47,1,17.2,1:00,https://i.ytimg.com/vi/Clv6ajAZ5x4/maxresdefault.jpg,https://youtube.com/watch?v=Clv6ajAZ5x4,Clv6ajAZ5x4,
Sectarianism & Amr bil màrof & Nahi anil munkar,Online Quran sessions 1,Standalone Keynotes,30-06-24,Sunday,5,272,6,1,2.57,1:01:06,https://i.ytimg.com/vi/a_N0MjBOrhE/sddefault.jpg,https://youtube.com/watch?v=a_N0MjBOrhE,a_N0MjBOrhE,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Seerat un Nabi ﷺ class 5 | مدنی زندگی | ریاستِ مدینہ اور جہاد وقتال,Seerat un Nabi (S.A.W) | سیرت النبی ﷺ |,Serial Coursework,02-01-23,Monday,14,267,17,1,6.74,1:11:21,https://i.ytimg.com/vi/9khLpsB8VUU/maxresdefault.jpg,https://youtube.com/watch?v=9khLpsB8VUU,9khLpsB8VUU,"A short course on Seerat un Nabi ﷺ | Class 5/5 ریاستِ مدینہ اور جہاد و قتال | مدنی دور #madina #islamicsystem #jihad #holywar #ghazwa #muslimsociety #ghazwaebadar #جہاد #قتال #ریاست مدینہ #صلح #فتح #hijarah of Prophet Muhammad SAW Life of prophet Muhammad SAW. #muhammad #prophetmuhammad #prophet #سیرت_نبوی #سیرت_النبی #سیرت #seerat #seeratunnabi Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments....."
Shikwa | شکوہ | Kalam e Iqbal | کلامِ اقبال,Kalam e Iqbal | کلامِ اقبال,Public Dialogue,08-11-22,Tuesday,19,265,23,4,10.19,50:10:00,https://i.ytimg.com/vi/Mw_-EPf1TRQ/maxresdefault.jpg,https://youtube.com/watch?v=Mw_-EPf1TRQ,Mw_-EPf1TRQ,"Shikwa | شکوہ | Kalam e Iqbal | کلامِ اقبال #iqbal #iqbalpoetry #shikwajawabeshikwa lecture 1 Like, subscribe, and share for more such lectures"
Shame -1| حیا و پاکبازی | Intro & background | Special Lecture 9,SPECIAL LECTURE SERIES,Thematic Academic Seminars,26-01-23,Thursday,12,262,21,0,8.02,38:35:00,https://i.ytimg.com/vi/F5FE47FNxVk/maxresdefault.jpg,https://youtube.com/watch?v=F5FE47FNxVk,F5FE47FNxVk,"Sex Discipline in Islam -1 | قصہ آدم و ابلیس Special Lecture Series # 9 This will be a group of lectures about the Quranic descriptions of Islamic principles of Shame, Chastity, Sex Discipline, and refraining from vulgarity. #vulgarity #shame #Chastity #Sex_discipline #Adam_Eve #shatan Please subscribe to our channel And Press the bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
2nd B. Khilafat & Knowledge | Discussion,Online Quran sessions 1,Standalone Keynotes,02-06-24,Sunday,6,254,7,1,3.15,1:00:06,https://i.ytimg.com/vi/opHmyhHAUp0/sddefault.jpg,https://youtube.com/watch?v=opHmyhHAUp0,opHmyhHAUp0,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Jawab e Shikwaa~ جوابِ شکوہ ~ Kalam e Iqbal ~ کلامِ اقبال,Kalam e Iqbal | کلامِ اقبال,Public Dialogue,09-11-22,Wednesday,6,254,18,2,7.87,1:04:55,https://i.ytimg.com/vi/ICJx06ln7S0/maxresdefault.jpg,https://youtube.com/watch?v=ICJx06ln7S0,ICJx06ln7S0,"Jawab e Shikwaa~ جوابِ شکوہ ~ Kalam e Iqbal ~ کلامِ اقبال Like, subscribe, and share for more such lectures"
خدا کی آواز,Unassigned Individual Uploads,Standalone Keynotes,25-02-26,Wednesday,20,253,12,2,5.53,0:35,https://i.ytimg.com/vi/mrzpKSPVJUg/maxresdefault.jpg,https://youtube.com/watch?v=mrzpKSPVJUg,mrzpKSPVJUg,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Personal Talk | With Ayub Baig Mirza Sb | 04- 1990s part-1,Personal Talk,Serial Coursework,11-02-23,Saturday,9,248,14,2,6.45,39:39:00,https://i.ytimg.com/vi/bxwrphMdd9E/maxresdefault.jpg,https://youtube.com/watch?v=bxwrphMdd9E,bxwrphMdd9E,"Personal Discussion with Ayub Baig Mirza Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. This episode shared personal and political memories from the 1990s. Era of political instability, corruption, terrorism, loans #nawazsharif #imrankhan #america #israrahmad #pakistanhistory Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
#quran #iqbal     For complete 10 min clip series... https://youtu.be/2vQKX3Vxa5o,Unassigned Individual Uploads,General Discourse,08-03-23,Wednesday,2,248,32,2,13.71,1:00,https://i.ytimg.com/vi/GZ5NMHf7Lzk/maxresdefault.jpg,https://youtube.com/watch?v=GZ5NMHf7Lzk,GZ5NMHf7Lzk,
"47. Sora Yaseen, Saffat, Saad | Ramzan 26",Tarjuma Quran in Ramazan 2026,Standalone Keynotes,12-03-26,Thursday,6,246,10,0,4.07,2:10:33,https://i.ytimg.com/vi/nmGP7wUlA_g/maxresdefault.jpg,https://youtube.com/watch?v=nmGP7wUlA_g,nmGP7wUlA_g,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
02- Baqara R1-4 | Dora Tarjuma Quran 2023,Dora Tarjuma Quran 2023,Standalone Keynotes,13-04-23,Thursday,10,242,14,1,6.2,54:51:00,https://i.ytimg.com/vi/bYGc5v9JoE8/maxresdefault.jpg,https://youtube.com/watch?v=bYGc5v9JoE8,bYGc5v9JoE8,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
رسول اللہ صلی اللّٰہ علیہ وسلم اورکفار کا اصل جھگڑا کیا تھا؟,Unassigned Individual Uploads,General Discourse,25-01-24,Thursday,5,242,19,2,8.68,1:01,https://i.ytimg.com/vi/hoGlCHTyYf8/maxresdefault.jpg,https://youtube.com/watch?v=hoGlCHTyYf8,hoGlCHTyYf8,
Last Sermon of Hajj. Human rights charter.,Noor e Sahar @ 24 news,Standalone Keynotes,10-06-25,Tuesday,0,241,25,8,13.69,10:36,https://i.ytimg.com/vi/BnQGxePUof0/sddefault.jpg,https://youtube.com/watch?v=BnQGxePUof0,BnQGxePUof0,#humanrights #quran #ramazan #muhammad #islam #lastsermon
